@RELATION langid

@ATTRIBUTE beng_dict NUMERIC
@ATTRIBUTE ngram {'B','E'}
@ATTRIBUTE beng_surr REAL
@ATTRIBUTE real_tag {'B','E'}

@DATA
2,E,1.0,B
2,B,1.0,B
2,B,1.0,B
2,B,1.0,B
1,B,0.75,B
1,B,0.5,B
1,E,0.6666666666666666,E
0,E,0.5,E
2,E,0.5,B
1,E,1.0,B
1,B,0.5,B
2,B,0.3333333333333333,B
0,E,1.0,E
0,E,0.0,E
1,E,0.0,B
1,E,0.0,B
0,E,0.0,E
0,E,0.0,E
1,E,0.5,E
1,E,0.6666666666666666,E
1,B,0.25,B
1,B,0.6666666666666666,B
1,B,1.0,B
2,B,1.0,B
1,B,0.6666666666666666,B
1,B,1.0,B
2,E,1.0,B
2,E,0.5,B
0,E,0.6666666666666666,B
1,B,0.6666666666666666,B
2,B,0.5,B
2,E,1.0,B
2,B,1.0,B
2,B,0.75,B
1,B,0.5,B
0,E,0.6666666666666666,E
0,B,0.5,E
2,B,1.0,B
2,B,0.6666666666666666,B
1,B,0.75,B
0,E,0.75,E
2,B,0.3333333333333333,B
1,E,0.5,B
1,B,0.5,B
2,B,0.3333333333333333,B
0,E,0.5,E
0,E,0.25,E
1,E,0.3333333333333333,E
2,E,0.0,E
1,B,0.5,B
1,B,0.3333333333333333,B
0,B,0.6666666666666666,E
0,E,0.5,E
2,B,0.5,B
1,E,1.0,B
2,B,0.5,B
1,B,0.3333333333333333,B
0,E,1.0,E
1,B,1.0,B
2,B,0.6666666666666666,B
2,B,0.75,B
1,E,0.75,B
1,B,0.3333333333333333,E
0,E,0.5,E
2,B,0.5,B
1,B,0.6666666666666666,B
1,E,1.0,B
2,B,0.5,B
2,B,0.25,B
0,E,0.6666666666666666,E
0,E,0.5,E
1,E,1.0,B
2,B,0.3333333333333333,B
1,B,0.3333333333333333,B
0,E,1.0,E
2,B,0.5,B
1,E,1.0,B
1,B,0.5,B
2,B,0.6666666666666666,B
1,B,1.0,E
0,E,0.5,E
2,B,0.0,B
1,E,0.6666666666666666,B
2,B,0.5,B
2,B,1.0,B
1,B,1.0,B
2,B,0.75,B
1,B,0.5,B
0,E,0.6666666666666666,E
0,E,0.5,E
1,B,1.0,B
1,B,0.6666666666666666,B
2,E,0.75,B
1,E,1.0,B
2,E,0.75,B
1,B,0.5,B
1,B,0.5,B
0,E,0.6666666666666666,E
1,E,0.5,E
1,B,1.0,B
2,B,1.0,B
2,B,1.0,B
2,E,0.75,B
1,B,0.5,B
0,E,0.6666666666666666,E
0,E,0.5,E
2,E,0.5,B
1,E,1.0,B
2,B,0.5,B
2,B,0.3333333333333333,B
0,E,1.0,E
2,B,1.0,B
2,B,0.6666666666666666,B
2,B,0.5,B
1,E,0.5,B
0,E,0.3333333333333333,E
1,E,0.0,E
1,B,0.0,B
1,E,0.3333333333333333,B
0,E,0.3333333333333333,E
0,E,0.0,E
1,E,1.0,B
1,B,0.6666666666666666,B
1,B,0.5,B
2,B,0.5,B
0,E,0.6666666666666666,E
1,E,0.5,E
1,B,1.0,E
2,B,0.6666666666666666,B
2,B,0.6666666666666666,B
1,E,1.0,B
2,B,0.5,B
1,E,0.6666666666666666,B
2,B,0.3333333333333333,B
0,E,0.5,E
1,E,1.0,B
2,B,0.3333333333333333,B
2,E,0.6666666666666666,B
2,E,1.0,B
1,B,0.5,B
1,E,0.6666666666666666,B
2,B,0.5,B
1,E,0.75,B
2,B,0.75,B
2,B,0.5,B
1,B,0.6666666666666666,E
0,E,1.0,E
2,B,1.0,B
2,B,0.6666666666666666,B
2,B,0.5,B
1,E,1.0,B
2,E,0.5,B
1,B,1.0,B
1,B,0.6666666666666666,B
1,B,1.0,B
2,B,1.0,B
1,B,0.5,B
2,B,0.3333333333333333,B
0,E,0.5,E
0,E,0.3333333333333333,E
0,E,0.0,E
1,E,1.0,B
2,B,0.6666666666666666,B
2,B,0.5,B
2,E,0.6666666666666666,B
0,E,1.0,E
2,B,0.5,B
1,B,0.3333333333333333,B
1,E,0.5,B
0,E,0.25,E
1,E,0.0,E
1,E,0.0,B
1,B,1.0,B
1,B,1.0,B
